ac_type,ac_iata_code,ac_fleet
Airbus A300,AB3,A30B
Airbus A300-600,AB6,A306
Airbus A310,310,A310
Airbus A318,318,A318
Airbus A319,319,A319
Airbus A319neo,31N,A19N
Airbus A320,320,A320
Airbus A320neo,32N,A20N
Airbus A321,321,A321
Airbus A321neo,32Q,A21N
Airbus A330-200,332,A332
Airbus A330-300,333,A333
Airbus A330-800neo,338,A338
Airbus A330-900neo,339,A339
Airbus A340-200,342,A342
Airbus A340-300,343,A343
Airbus A340-500,345,A345
Airbus A340-600,346,A346
Airbus A350-1000,351,A35K
Airbus A350-900,359,A359
Airbus A380-800,388,A388
Boeing 707,703,B703
Boeing 717,717,B712
Boeing 720B,B72,B720
Boeing 727-100,721,B721
Boeing 727-200,722,B722
Boeing 737 MAX 7,7M7,B37M
Boeing 737 MAX 8,7M8,B38M
Boeing 737 MAX 9,7M9,B39M
Boeing 737-200,732,B732
Boeing 737-300,733,B733
Boeing 737-400,734,B734
Boeing 737-500,735,B735
Boeing 737-600,736,B736
Boeing 737-700,73G,B737
Boeing 737-800,738,B738
Boeing 737-900,739,B739
Boeing 747 LCF Dreamlifter,74B,BLCF
Boeing 747-100,741,B741
Boeing 747-200,742,B742
Boeing 747-300,743,B743
Boeing 747-400,744,B744
Boeing 747-400D,74J,B74D
Boeing 747-8,748,B748
Boeing 747SP,74L,B74S
Boeing 747SR,74R,B74R
Boeing 757-200,752,B752
Boeing 757-300,753,B753
Boeing 767-200,762,B762
Boeing 767-300,763,B763
Boeing 767-400,764,B764
Boeing 777-200,772,B772
Boeing 777-200LR,77L,B77L
Boeing 777-300,773,B773
Boeing 777-300ER,77W,B77W
Boeing 777-8,778,B778
Boeing 777-9,779,B779
Boeing 787-10,78J,B78X
Boeing 787-8,788,B788
Boeing 787-9,789,B789
